INFO 2021-11-09 14:57:33,994 basehttp 161 "GET /index/ HTTP/1.1" 200 12115
INFO 2021-11-09 21:21:50,789 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-09 21:22:35,178 autoreload 251 C:\Users\Administrator\Desktop\blog_hm\user\urls.py changed, reloading.
INFO 2021-11-09 21:22:36,859 autoreload 637 Watching for file changes with StatReloader
WARNING 2021-11-09 21:22:41,443 log 224 Not Found: /
WARNING 2021-11-09 21:22:41,443 basehttp 161 "GET / HTTP/1.1" 404 2233
WARNING 2021-11-09 21:22:41,593 log 224 Not Found: /favicon.ico
WARNING 2021-11-09 21:22:41,595 basehttp 161 "GET /favicon.ico HTTP/1.1" 404 2284
INFO 2021-11-09 21:22:48,877 basehttp 161 "GET /register/ HTTP/1.1" 200 5263
INFO 2021-11-09 21:22:48,920 basehttp 161 "GET /static/static/img/image_code.png HTTP/1.1" 200 3483
INFO 2021-11-09 21:22:48,928 basehttp 161 "GET /static/static/js/register.js HTTP/1.1" 200 6407
WARNING 2021-11-09 21:22:50,918 log 224 Not Found: /rgister
WARNING 2021-11-09 21:22:50,918 basehttp 161 "GET /rgister HTTP/1.1" 404 2272
INFO 2021-11-09 21:23:06,805 basehttp 161 "GET /register/ HTTP/1.1" 200 5248
INFO 2021-11-09 23:58:29,004 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-09 23:58:31,126 basehttp 161 "GET / HTTP/1.1" 200 5248
WARNING 2021-11-09 23:58:31,666 log 224 Not Found: /favicon.ico
WARNING 2021-11-09 23:58:31,668 basehttp 161 "GET /favicon.ico HTTP/1.1" 404 2442
INFO 2021-11-10 00:16:18,443 autoreload 251 C:\Users\Administrator\Desktop\blog_hm\user\views.py changed, reloading.
INFO 2021-11-10 00:16:20,228 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-10 00:17:44,361 basehttp 161 "GET / HTTP/1.1" 200 5231
WARNING 2021-11-10 00:17:45,033 log 224 Not Found: /favicon.ico
WARNING 2021-11-10 00:17:45,033 basehttp 161 "GET /favicon.ico HTTP/1.1" 404 2442
INFO 2021-11-10 17:17:27,217 autoreload 637 Watching for file changes with StatReloader
WARNING 2021-11-10 17:17:36,293 log 224 Not Found: /
WARNING 2021-11-10 17:17:36,294 basehttp 161 "GET / HTTP/1.1" 404 2233
WARNING 2021-11-10 17:17:36,606 log 224 Not Found: /favicon.ico
WARNING 2021-11-10 17:17:36,607 basehttp 161 "GET /favicon.ico HTTP/1.1" 404 2284
WARNING 2021-11-10 17:17:41,435 log 224 Not Found: /index/
WARNING 2021-11-10 17:17:41,437 basehttp 161 "GET /index/ HTTP/1.1" 404 2269
WARNING 2021-11-10 17:17:46,801 log 224 Not Found: /login/
WARNING 2021-11-10 17:17:46,802 basehttp 161 "GET /login/ HTTP/1.1" 404 2269
INFO 2021-11-10 17:17:51,502 basehttp 161 "GET /register/ HTTP/1.1" 200 5231
INFO 2021-11-10 18:06:33,023 autoreload 251 C:\Users\Administrator\Desktop\blog_hm\blog_hm\settings.py changed, reloading.
INFO 2021-11-10 18:06:35,310 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-10 18:09:40,177 autoreload 251 C:\Users\Administrator\Desktop\blog_hm\user\middleware.py changed, reloading.
INFO 2021-11-10 18:09:42,008 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-10 18:14:07,459 autoreload 251 C:\Users\Administrator\Desktop\blog_hm\user\middleware.py changed, reloading.
INFO 2021-11-10 18:14:09,126 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-10 18:16:46,351 autoreload 251 C:\Users\Administrator\Desktop\blog_hm\user\middleware.py changed, reloading.
INFO 2021-11-10 18:16:48,094 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-10 18:17:08,922 autoreload 251 C:\Users\Administrator\Desktop\blog_hm\user\middleware.py changed, reloading.
INFO 2021-11-10 18:17:11,080 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-10 18:19:12,939 autoreload 251 C:\Users\Administrator\Desktop\blog_hm\user\urls.py changed, reloading.
INFO 2021-11-10 18:19:19,243 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-10 18:19:20,888 autoreload 251 C:\Users\Administrator\Desktop\blog_hm\user\views.py changed, reloading.
INFO 2021-11-10 18:19:22,964 autoreload 637 Watching for file changes with StatReloader
ERROR 2021-11-10 18:19:27,486 log 224 Internal Server Error: /
Traceback (most recent call last):
  File "E:\Anaconda\Anaconda\lib\site-packages\django\core\handlers\exception.py", line 47, in inner
    response = get_response(request)
TypeError: 'MyMiddleWare' object is not callable
ERROR 2021-11-10 18:19:27,487 basehttp 161 "GET / HTTP/1.1" 500 59373
ERROR 2021-11-10 18:19:28,046 log 224 Internal Server Error: /favicon.ico
Traceback (most recent call last):
  File "E:\Anaconda\Anaconda\lib\site-packages\django\core\handlers\exception.py", line 47, in inner
    response = get_response(request)
TypeError: 'MyMiddleWare' object is not callable
ERROR 2021-11-10 18:19:28,048 basehttp 161 "GET /favicon.ico HTTP/1.1" 500 59044
INFO 2021-11-10 18:19:37,365 basehttp 161 "GET /test_middleware HTTP/1.1" 301 0
ERROR 2021-11-10 18:19:37,399 log 224 Internal Server Error: /test_middleware/
Traceback (most recent call last):
  File "E:\Anaconda\Anaconda\lib\site-packages\django\core\handlers\exception.py", line 47, in inner
    response = get_response(request)
TypeError: 'MyMiddleWare' object is not callable
ERROR 2021-11-10 18:19:37,400 basehttp 161 "GET /test_middleware/ HTTP/1.1" 500 59280
ERROR 2021-11-10 18:19:37,558 log 224 Internal Server Error: /favicon.ico
Traceback (most recent call last):
  File "E:\Anaconda\Anaconda\lib\site-packages\django\core\handlers\exception.py", line 47, in inner
    response = get_response(request)
TypeError: 'MyMiddleWare' object is not callable
ERROR 2021-11-10 18:19:37,559 basehttp 161 "GET /favicon.ico HTTP/1.1" 500 59060
INFO 2021-11-10 18:23:04,914 autoreload 251 C:\Users\Administrator\Desktop\blog_hm\user\middleware.py changed, reloading.
INFO 2021-11-10 18:23:06,940 autoreload 637 Watching for file changes with StatReloader
ERROR 2021-11-10 18:23:13,991 log 224 Internal Server Error: /
Traceback (most recent call last):
  File "E:\Anaconda\Anaconda\lib\site-packages\django\core\handlers\exception.py", line 47, in inner
    response = get_response(request)
TypeError: 'MyMiddleWare' object is not callable
ERROR 2021-11-10 18:23:13,992 basehttp 161 "GET / HTTP/1.1" 500 59152
ERROR 2021-11-10 18:23:14,339 log 224 Internal Server Error: /favicon.ico
Traceback (most recent call last):
  File "E:\Anaconda\Anaconda\lib\site-packages\django\core\handlers\exception.py", line 47, in inner
    response = get_response(request)
TypeError: 'MyMiddleWare' object is not callable
ERROR 2021-11-10 18:23:14,340 basehttp 161 "GET /favicon.ico HTTP/1.1" 500 59044
ERROR 2021-11-10 18:23:19,134 log 224 Internal Server Error: /test/
Traceback (most recent call last):
  File "E:\Anaconda\Anaconda\lib\site-packages\django\core\handlers\exception.py", line 47, in inner
    response = get_response(request)
TypeError: 'MyMiddleWare' object is not callable
ERROR 2021-11-10 18:23:19,136 basehttp 161 "GET /test/ HTTP/1.1" 500 59192
ERROR 2021-11-10 18:23:19,281 log 224 Internal Server Error: /favicon.ico
Traceback (most recent call last):
  File "E:\Anaconda\Anaconda\lib\site-packages\django\core\handlers\exception.py", line 47, in inner
    response = get_response(request)
TypeError: 'MyMiddleWare' object is not callable
ERROR 2021-11-10 18:23:19,283 basehttp 161 "GET /favicon.ico HTTP/1.1" 500 59049
ERROR 2021-11-10 18:23:26,866 log 224 Internal Server Error: /test_middleware/
Traceback (most recent call last):
  File "E:\Anaconda\Anaconda\lib\site-packages\django\core\handlers\exception.py", line 47, in inner
    response = get_response(request)
TypeError: 'MyMiddleWare' object is not callable
ERROR 2021-11-10 18:23:26,868 basehttp 161 "GET /test_middleware/ HTTP/1.1" 500 59280
ERROR 2021-11-10 18:23:27,016 log 224 Internal Server Error: /favicon.ico
Traceback (most recent call last):
  File "E:\Anaconda\Anaconda\lib\site-packages\django\core\handlers\exception.py", line 47, in inner
    response = get_response(request)
TypeError: 'MyMiddleWare' object is not callable
ERROR 2021-11-10 18:23:27,018 basehttp 161 "GET /favicon.ico HTTP/1.1" 500 59060
INFO 2021-11-10 19:05:59,063 autoreload 251 C:\Users\Administrator\Desktop\blog_hm\user\middleware.py changed, reloading.
INFO 2021-11-10 19:06:00,724 autoreload 637 Watching for file changes with StatReloader
ERROR 2021-11-10 19:06:04,000 log 224 Internal Server Error: /test_middleware/
Traceback (most recent call last):
  File "E:\Anaconda\Anaconda\lib\site-packages\django\core\handlers\exception.py", line 47, in inner
    response = get_response(request)
TypeError: 'MyMiddleWare' object is not callable
ERROR 2021-11-10 19:06:04,001 basehttp 161 "GET /test_middleware/ HTTP/1.1" 500 59417
ERROR 2021-11-10 19:06:04,129 log 224 Internal Server Error: /favicon.ico
Traceback (most recent call last):
  File "E:\Anaconda\Anaconda\lib\site-packages\django\core\handlers\exception.py", line 47, in inner
    response = get_response(request)
TypeError: 'MyMiddleWare' object is not callable
ERROR 2021-11-10 19:06:04,130 basehttp 161 "GET /favicon.ico HTTP/1.1" 500 59325
INFO 2021-11-10 19:06:15,109 autoreload 251 C:\Users\Administrator\Desktop\blog_hm\user\middleware.py changed, reloading.
INFO 2021-11-10 19:06:16,973 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-10 19:06:36,470 autoreload 251 C:\Users\Administrator\Desktop\blog_hm\user\middleware.py changed, reloading.
INFO 2021-11-10 19:06:38,146 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-10 19:06:52,358 autoreload 251 C:\Users\Administrator\Desktop\blog_hm\user\middleware.py changed, reloading.
INFO 2021-11-10 19:06:54,069 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-10 19:06:54,403 basehttp 161 "GET /test_middleware/ HTTP/1.1" 200 40
WARNING 2021-11-10 19:06:54,467 log 224 Not Found: /favicon.ico
WARNING 2021-11-10 19:06:54,467 basehttp 161 "GET /favicon.ico HTTP/1.1" 404 2447
INFO 2021-11-10 19:21:08,056 autoreload 251 C:\Users\Administrator\Desktop\blog_hm\user\middleware.py changed, reloading.
INFO 2021-11-10 19:21:20,438 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-10 19:22:25,280 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-10 19:23:31,650 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-10 19:26:13,641 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-10 19:26:49,481 basehttp 161 "GET /test_middleware/ HTTP/1.1" 200 40
INFO 2021-11-10 19:28:14,900 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-10 20:42:51,898 autoreload 637 Watching for file changes with StatReloader
WARNING 2021-11-10 21:05:08,666 log 224 Not Found: /
WARNING 2021-11-10 21:05:08,667 basehttp 161 "GET / HTTP/1.1" 404 2396
WARNING 2021-11-10 21:05:09,020 log 224 Not Found: /favicon.ico
WARNING 2021-11-10 21:05:09,022 basehttp 161 "GET /favicon.ico HTTP/1.1" 404 2447
WARNING 2021-11-10 21:05:12,385 log 224 Not Found: /login/
WARNING 2021-11-10 21:05:12,390 basehttp 161 "GET /login/ HTTP/1.1" 404 2432
INFO 2021-11-10 21:05:17,439 basehttp 161 "GET /admin/ HTTP/1.1" 302 0
INFO 2021-11-10 21:05:17,661 basehttp 161 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 2224
INFO 2021-11-10 21:05:18,010 basehttp 161 "GET /admin/ HTTP/1.1" 302 0
INFO 2021-11-10 21:05:18,042 basehttp 161 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 2224
INFO 2021-11-10 21:08:57,172 autoreload 251 C:\Users\Administrator\Desktop\blog_hm\user\models.py changed, reloading.
INFO 2021-11-10 21:08:59,051 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-10 21:14:21,084 autoreload 251 C:\Users\Administrator\Desktop\blog_hm\user\models.py changed, reloading.
INFO 2021-11-10 21:14:23,832 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-10 21:17:43,523 autoreload 251 C:\Users\Administrator\Desktop\blog_hm\user\models.py changed, reloading.
INFO 2021-11-10 21:17:46,106 autoreload 637 Watching for file changes with StatReloader
